Geography,Reference period,Total all types of electricity generation (Megawatt hours),Hydraulic turbine (Megawatt hours),Conventional steam turbine (Megawatt hours),Nuclear steam turbine (Megawatt hours),Internal combustion turbine (Megawatt hours),Combustion turbine (Megawatt hours),Total electricity production from combustible fuels (Megawatt hours),Total electricity production from non-renewable combustible fuels (Megawatt hours),Total electricity production from biomass (Megawatt hours),Tidal power turbine (Megawatt hours),Wind power turbine (Megawatt hours),Solar (Megawatt hours),Other types of electricity generation (Megawatt hours)
Canada,21-Apr,48555490.00,29815313.00,0.00,6914849.00,0.00,0.00,8537347.00,7727297.00,810050.00,0.00,2980870.00,291710.00,15401.00
Canada,21-May,48110215.00,28994724.00,0.00,7556304.00,0.00,0.00,8625194.00,7903626.00,721568.00,0.00,2592924.00,329173.00,11896.00
Canada,21-Jun,48939953.00,28142017.00,0.00,7907235.00,0.00,0.00,9935789.00,9176913.00,758876.00,0.00,2643825.00,300645.00,10442.00
Canada,21-Jul,49931674.00,29336929.00,0.00,8216039.00,0.00,0.00,10139576.00,9367398.00,772178.00,0.00,1949930.00,281873.00,7327.00
Canada,21-Aug,50334219.00,28199058.00,0.00,8070667.00,0.00,0.00,11754859.00,10943471.00,811388.00,0.00,1994460.00,300715.00,14460.00
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
